10.638270 | k-point: 001 | bands: 05 -> 08
10.638270 | k-point: 001 | bands: 05 -> 09
10.638270 | k-point: 001 | bands: 06 -> 08
10.638270 | k-point: 001 | bands: 06 -> 09
10.889560 | k-point: 001 | bands: 08 -> 11
10.889560 | k-point: 001 | bands: 08 -> 12
10.889560 | k-point: 001 | bands: 09 -> 11
10.889560 | k-point: 001 | bands: 09 -> 12
11.400480 | k-point: 001 | bands: 05 -> 10
11.400480 | k-point: 001 | bands: 06 -> 10
11.415740 | k-point: 001 | bands: 10 -> 13
11.521880 | k-point: 001 | bands: 07 -> 11
11.521880 | k-point: 001 | bands: 07 -> 12
11.610120 | k-point: 001 | bands: 10 -> 14
11.658670 | k-point: 001 | bands: 04 -> 07
11.758700 | k-point: 001 | bands: 02 -> 07
11.758700 | k-point: 001 | bands: 03 -> 07
11.863150 | k-point: 001 | bands: 01 -> 07
12.036840 | k-point: 001 | bands: 14 -> 23
12.036840 | k-point: 001 | bands: 14 -> 24
12.177950 | k-point: 001 | bands: 08 -> 13
12.177950 | k-point: 001 | bands: 09 -> 13
12.231220 | k-point: 001 | bands: 13 -> 23
12.231220 | k-point: 001 | bands: 13 -> 24
12.290990 | k-point: 001 | bands: 04 -> 08
12.290990 | k-point: 001 | bands: 04 -> 09
12.372330 | k-point: 001 | bands: 08 -> 14
12.372330 | k-point: 001 | bands: 09 -> 14
12.391020 | k-point: 001 | bands: 02 -> 08
12.391020 | k-point: 001 | bands: 02 -> 09
12.391020 | k-point: 001 | bands: 03 -> 08
12.391020 | k-point: 001 | bands: 03 -> 09
12.495470 | k-point: 001 | bands: 01 -> 08
12.495470 | k-point: 001 | bands: 01 -> 09
12.810270 | k-point: 001 | bands: 07 -> 13
12.962170 | k-point: 001 | bands: 15 -> 16
13.004650 | k-point: 001 | bands: 07 -> 14
13.010600 | k-point: 001 | bands: 05 -> 15
13.010600 | k-point: 001 | bands: 06 -> 15
13.053200 | k-point: 001 | bands: 04 -> 10
13.134980 | k-point: 001 | bands: 14 -> 25
13.153230 | k-point: 001 | bands: 02 -> 10
13.153230 | k-point: 001 | bands: 03 -> 10
13.257680 | k-point: 001 | bands: 01 -> 10
13.329360 | k-point: 001 | bands: 13 -> 25
13.519610 | k-point: 001 | bands: 11 -> 23
13.519610 | k-point: 001 | bands: 11 -> 24
13.519610 | k-point: 001 | bands: 12 -> 23
13.519610 | k-point: 001 | bands: 12 -> 24
13.612660 | k-point: 001 | bands: 15 -> 17
13.612660 | k-point: 001 | bands: 15 -> 18
14.572290 | k-point: 001 | bands: 10 -> 16
14.617750 | k-point: 001 | bands: 11 -> 25
14.617750 | k-point: 001 | bands: 12 -> 25
14.663320 | k-point: 001 | bands: 04 -> 15
14.763350 | k-point: 001 | bands: 02 -> 15
14.763350 | k-point: 001 | bands: 03 -> 15
14.867800 | k-point: 001 | bands: 01 -> 15
15.222780 | k-point: 001 | bands: 10 -> 17
15.222780 | k-point: 001 | bands: 10 -> 18
15.334500 | k-point: 001 | bands: 08 -> 16
15.334500 | k-point: 001 | bands: 09 -> 16
15.756340 | k-point: 001 | bands: 15 -> 19
15.966820 | k-point: 001 | bands: 07 -> 16
15.984990 | k-point: 001 | bands: 08 -> 17
15.984990 | k-point: 001 | bands: 08 -> 18
15.984990 | k-point: 001 | bands: 09 -> 17
15.984990 | k-point: 001 | bands: 09 -> 18
16.617310 | k-point: 001 | bands: 07 -> 17
16.617310 | k-point: 001 | bands: 07 -> 18
16.985780 | k-point: 001 | bands: 15 -> 20
17.366460 | k-point: 001 | bands: 10 -> 19
17.588440 | k-point: 001 | bands: 15 -> 21
17.588440 | k-point: 001 | bands: 15 -> 22
18.128670 | k-point: 001 | bands: 08 -> 19
18.128670 | k-point: 001 | bands: 09 -> 19
18.595900 | k-point: 001 | bands: 10 -> 20
18.760990 | k-point: 001 | bands: 07 -> 19
19.198560 | k-point: 001 | bands: 10 -> 21
19.198560 | k-point: 001 | bands: 10 -> 22
19.358110 | k-point: 001 | bands: 08 -> 20
19.358110 | k-point: 001 | bands: 09 -> 20
19.960770 | k-point: 001 | bands: 08 -> 21
19.960770 | k-point: 001 | bands: 08 -> 22
19.960770 | k-point: 001 | bands: 09 -> 21
19.960770 | k-point: 001 | bands: 09 -> 22
19.990430 | k-point: 001 | bands: 07 -> 20
20.593090 | k-point: 001 | bands: 07 -> 21
20.593090 | k-point: 001 | bands: 07 -> 22
